Vendor ID,Invoice Date,Payment Amount,Vendor Category,Vendor Location,Due Date,Payment Terms,delay_days,Payment Date,is_delayed,Historical Payment Behavior
V001,2023-01-01,60259,Technology,US,2023-04-27,116,7,2023-05-04,1,0.0
V001,2023-01-18,1546,Raw Materials,Africa,2023-04-08,80,9,2023-04-17,1,7.0
V001,2023-02-22,34057,Logistics,Africa,2023-03-02,8,19,2023-03-21,1,8.0
V001,2023-03-09,20674,Services,Africa,2023-04-14,36,15,2023-04-29,1,11.666666666666666
V001,2023-03-31,63133,Technology,Africa,2023-06-19,80,11,2023-06-30,1,12.5
V001,2023-04-10,40044,Raw Materials,US,2023-05-28,48,12,2023-06-09,1,12.2
V001,2023-05-14,74138,Raw Materials,Africa,2023-06-08,25,16,2023-06-24,1,12.166666666666666
V001,2023-06-09,11611,Services,EU,2023-09-07,90,7,2023-09-14,1,12.714285714285714
V001,2023-07-13,53424,Logistics,US,2023-10-31,110,9,2023-11-09,1,12.0
V001,2023-07-18,58223,Services,US,2023-08-01,14,14,2023-08-15,1,11.666666666666666
V001,2023-07-27,26545,Raw Materials,US,2023-10-13,78,11,2023-10-24,1,11.9
V001,2023-08-14,18978,Logistics,Africa,2023-08-26,12,16,2023-09-11,1,11.818181818181818
V001,2023-08-24,39970,Raw Materials,US,2023-12-05,103,7,2023-12-12,1,12.166666666666666
V001,2023-08-25,4037,Raw Materials,US,2023-11-16,83,10,2023-11-26,1,11.76923076923077
V001,2023-09-02,70112,Raw Materials,EU,2023-12-16,105,9,2023-12-25,1,11.642857142857142
V001,2023-09-15,9177,Logistics,EU,2023-11-04,50,13,2023-11-17,1,11.466666666666667
V001,2023-09-16,11190,Logistics,EU,2023-10-13,27,15,2023-10-28,1,11.5625
V001,2023-09-24,55420,Raw Materials,US,2024-01-18,116,7,2024-01-25,1,11.764705882352942
V001,2023-10-10,21945,Services,EU,2024-01-09,91,9,2024-01-18,1,11.5
V001,2023-10-13,7520,Raw Materials,Asia,2024-01-01,80,9,2024-01-10,1,11.368421052631579
V001,2023-10-28,37044,Raw Materials,Asia,2023-12-22,55,14,2024-01-05,1,11.25
V001,2023-11-21,37725,Raw Materials,US,2023-12-05,14,17,2023-12-22,1,11.380952380952381
V001,2023-11-26,4652,Raw Materials,Africa,2023-12-11,15,15,2023-12-26,1,11.636363636363637
V001,2023-12-04,7763,Raw Materials,Asia,2024-02-13,71,9,2024-02-22,1,11.782608695652174
V001,2024-01-07,3083,Logistics,EU,2024-04-07,91,7,2024-04-14,1,11.666666666666666
V001,2024-01-14,22444,Raw Materials,Africa,2024-04-19,96,10,2024-04-29,1,11.48
V001,2024-01-19,21375,Raw Materials,EU,2024-05-08,110,8,2024-05-16,1,11.423076923076923
V001,2024-01-21,17361,Technology,EU,2024-05-12,112,7,2024-05-19,1,11.296296296296296
V001,2024-01-27,19362,Services,Africa,2024-03-27,60,13,2024-04-09,1,11.142857142857142
V001,2024-01-29,14982,Technology,Africa,2024-04-09,71,12,2024-04-21,1,11.206896551724139
V001,2024-03-01,57811,Raw Materials,EU,2024-05-27,87,11,2024-06-07,1,11.233333333333333
V001,2024-03-02,35651,Technology,Africa,2024-06-14,104,10,2024-06-24,1,11.225806451612904
V001,2024-03-02,12671,Services,Asia,2024-04-01,30,13,2024-04-14,1,11.1875
V001,2024-03-19,53508,Technology,US,2024-05-19,61,11,2024-05-30,1,11.242424242424242
V001,2024-03-30,59988,Services,US,2024-07-28,120,7,2024-08-04,1,11.235294117647058
V001,2024-03-31,73062,Logistics,EU,2024-05-26,56,15,2024-06-10,1,11.114285714285714
V001,2024-04-03,64944,Services,Asia,2024-05-07,34,14,2024-05-21,1,11.222222222222221
V001,2024-04-05,1244,Logistics,EU,2024-05-24,49,13,2024-06-06,1,11.297297297297296
V001,2024-04-27,23421,Technology,US,2024-08-13,108,8,2024-08-21,1,11.342105263157896
V001,2024-04-29,20523,Logistics,Africa,2024-07-25,87,13,2024-08-07,1,11.256410256410257
V001,2024-05-14,48434,Logistics,Asia,2024-07-16,63,13,2024-07-29,1,11.3
V001,2024-05-17,53316,Raw Materials,Africa,2024-07-14,58,12,2024-07-26,1,11.341463414634147
V001,2024-07-02,33206,Raw Materials,EU,2024-07-16,14,17,2024-08-02,1,11.357142857142858
V001,2024-07-30,39215,Logistics,Asia,2024-08-10,11,17,2024-08-27,1,11.488372093023257
V001,2024-08-06,24812,Logistics,US,2024-08-21,15,16,2024-09-06,1,11.613636363636363
V001,2024-08-15,66407,Technology,Asia,2024-10-18,64,12,2024-10-30,1,11.71111111111111
V001,2024-08-23,71400,Logistics,EU,2024-12-02,101,8,2024-12-10,1,11.717391304347826
V001,2024-09-04,61997,Logistics,Africa,2024-10-24,50,14,2024-11-07,1,11.638297872340425
V001,2024-09-13,38557,Technology,US,2024-10-13,30,13,2024-10-26,1,11.6875
V001,2024-09-16,60570,Technology,Africa,2024-10-03,17,16,2024-10-19,1,11.714285714285714
V001,2024-09-23,74011,Logistics,US,2024-10-31,38,14,2024-11-14,1,11.8
V001,2024-10-16,63931,Raw Materials,Asia,2024-12-10,55,12,2024-12-22,1,11.843137254901961
V001,2024-10-18,44075,Logistics,US,2025-02-08,113,9,2025-02-17,1,11.846153846153847
V001,2024-10-20,38726,Raw Materials,EU,2024-11-19,30,13,2024-12-02,1,11.79245283018868
V001,2024-10-24,46950,Technology,Africa,2024-11-13,20,16,2024-11-29,1,11.814814814814815
V001,2024-11-06,74679,Raw Materials,Asia,2024-12-02,26,15,2024-12-17,1,11.89090909090909
V001,2024-11-18,49750,Technology,US,2025-01-25,68,10,2025-02-04,1,11.946428571428571
