Vendor ID,Invoice Date,Payment Amount,Vendor Category,Vendor Location,Due Date,Payment Terms,delay_days,Payment Date,is_delayed,Historical Payment Behavior,Terms_Amount_Interaction,Amount_Category,is_anomaly
0,2023-01-01,60259,3,3,2023-04-27,116,7,2023-05-04,1,0.0,6990044,180777,-1
0,2023-01-18,1546,1,0,2023-04-08,80,9,2023-04-17,1,7.0,123680,1546,-1
0,2023-02-22,34057,0,0,2023-03-02,8,19,2023-03-21,1,8.0,272456,0,-1
0,2023-03-09,20674,2,0,2023-04-14,36,15,2023-04-29,1,11.666666666666666,744264,41348,1
0,2023-03-31,63133,3,0,2023-06-19,80,11,2023-06-30,1,12.5,5050640,189399,-1
0,2023-04-10,40044,1,3,2023-05-28,48,12,2023-06-09,1,12.2,1922112,40044,1
0,2023-05-14,74138,1,0,2023-06-08,25,16,2023-06-24,1,12.166666666666666,1853450,74138,1
0,2023-06-09,11611,2,2,2023-09-07,90,7,2023-09-14,1,12.714285714285714,1044990,23222,1
0,2023-07-13,53424,0,3,2023-10-31,110,9,2023-11-09,1,12.0,5876640,0,1
0,2023-07-18,58223,2,3,2023-08-01,14,14,2023-08-15,1,11.666666666666666,815122,116446,1
0,2023-07-27,26545,1,3,2023-10-13,78,11,2023-10-24,1,11.9,2070510,26545,1
0,2023-08-14,18978,0,0,2023-08-26,12,16,2023-09-11,1,11.818181818181818,227736,0,1
0,2023-08-24,39970,1,3,2023-12-05,103,7,2023-12-12,1,12.166666666666666,4116910,39970,1
0,2023-08-25,4037,1,3,2023-11-16,83,10,2023-11-26,1,11.76923076923077,335071,4037,1
0,2023-09-02,70112,1,2,2023-12-16,105,9,2023-12-25,1,11.642857142857142,7361760,70112,-1
0,2023-09-15,9177,0,2,2023-11-04,50,13,2023-11-17,1,11.466666666666669,458850,0,1
0,2023-09-16,11190,0,2,2023-10-13,27,15,2023-10-28,1,11.5625,302130,0,1
0,2023-09-24,55420,1,3,2024-01-18,116,7,2024-01-25,1,11.764705882352942,6428720,55420,-1
0,2023-10-10,21945,2,2,2024-01-09,91,9,2024-01-18,1,11.5,1996995,43890,1
0,2023-10-13,7520,1,1,2024-01-01,80,9,2024-01-10,1,11.36842105263158,601600,7520,1
0,2023-10-28,37044,1,1,2023-12-22,55,14,2024-01-05,1,11.25,2037420,37044,1
0,2023-11-21,37725,1,3,2023-12-05,14,17,2023-12-22,1,11.38095238095238,528150,37725,1
0,2023-11-26,4652,1,0,2023-12-11,15,15,2023-12-26,1,11.636363636363637,69780,4652,1
0,2023-12-04,7763,1,1,2024-02-13,71,9,2024-02-22,1,11.782608695652174,551173,7763,1
0,2024-01-07,3083,0,2,2024-04-07,91,7,2024-04-14,1,11.666666666666666,280553,0,1
0,2024-01-14,22444,1,0,2024-04-19,96,10,2024-04-29,1,11.48,2154624,22444,1
0,2024-01-19,21375,1,2,2024-05-08,110,8,2024-05-16,1,11.423076923076923,2351250,21375,1
0,2024-01-21,17361,3,2,2024-05-12,112,7,2024-05-19,1,11.296296296296296,1944432,52083,1
0,2024-01-27,19362,2,0,2024-03-27,60,13,2024-04-09,1,11.142857142857142,1161720,38724,1
0,2024-01-29,14982,3,0,2024-04-09,71,12,2024-04-21,1,11.20689655172414,1063722,44946,1
0,2024-03-01,57811,1,2,2024-05-27,87,11,2024-06-07,1,11.233333333333333,5029557,57811,1
0,2024-03-02,35651,3,0,2024-06-14,104,10,2024-06-24,1,11.225806451612904,3707704,106953,1
0,2024-03-02,12671,2,1,2024-04-01,30,13,2024-04-14,1,11.1875,380130,25342,1
0,2024-03-19,53508,3,3,2024-05-19,61,11,2024-05-30,1,11.242424242424242,3263988,160524,1
0,2024-03-30,59988,2,3,2024-07-28,120,7,2024-08-04,1,11.235294117647058,7198560,119976,-1
0,2024-03-31,73062,0,2,2024-05-26,56,15,2024-06-10,1,11.114285714285714,4091472,0,1
0,2024-04-03,64944,2,1,2024-05-07,34,14,2024-05-21,1,11.22222222222222,2208096,129888,1
0,2024-04-05,1244,0,2,2024-05-24,49,13,2024-06-06,1,11.297297297297296,60956,0,1
0,2024-04-27,23421,3,3,2024-08-13,108,8,2024-08-21,1,11.342105263157896,2529468,70263,1
0,2024-04-29,20523,0,0,2024-07-25,87,13,2024-08-07,1,11.256410256410255,1785501,0,1
0,2024-05-14,48434,0,1,2024-07-16,63,13,2024-07-29,1,11.3,3051342,0,1
0,2024-05-17,53316,1,0,2024-07-14,58,12,2024-07-26,1,11.341463414634148,3092328,53316,1
0,2024-07-02,33206,1,2,2024-07-16,14,17,2024-08-02,1,11.357142857142858,464884,33206,1
0,2024-07-30,39215,0,1,2024-08-10,11,17,2024-08-27,1,11.488372093023257,431365,0,1
0,2024-08-06,24812,0,3,2024-08-21,15,16,2024-09-06,1,11.613636363636363,372180,0,1
0,2024-08-15,66407,3,1,2024-10-18,64,12,2024-10-30,1,11.71111111111111,4250048,199221,1
0,2024-08-23,71400,0,2,2024-12-02,101,8,2024-12-10,1,11.717391304347826,7211400,0,-1
0,2024-09-04,61997,0,0,2024-10-24,50,14,2024-11-07,1,11.638297872340424,3099850,0,1
0,2024-09-13,38557,3,3,2024-10-13,30,13,2024-10-26,1,11.6875,1156710,115671,1
0,2024-09-16,60570,3,0,2024-10-03,17,16,2024-10-19,1,11.714285714285714,1029690,181710,-1
0,2024-09-23,74011,0,3,2024-10-31,38,14,2024-11-14,1,11.8,2812418,0,-1
0,2024-10-16,63931,1,1,2024-12-10,55,12,2024-12-22,1,11.84313725490196,3516205,63931,1
0,2024-10-18,44075,0,3,2025-02-08,113,9,2025-02-17,1,11.846153846153848,4980475,0,1
0,2024-10-20,38726,1,2,2024-11-19,30,13,2024-12-02,1,11.79245283018868,1161780,38726,1
0,2024-10-24,46950,3,0,2024-11-13,20,16,2024-11-29,1,11.814814814814817,939000,140850,1
0,2024-11-06,74679,1,1,2024-12-02,26,15,2024-12-17,1,11.89090909090909,1941654,74679,1
0,2024-11-18,49750,3,3,2025-01-25,68,10,2025-02-04,1,11.946428571428571,3383000,149250,1
0,2024-12-15,59621,0,2,2025-01-09,25,15,2025-01-24,1,11.912280701754383,1490525,0,1
0,2024-12-29,67868,2,1,2025-02-07,40,16,2025-02-23,1,11.96551724137931,2714720,135736,1
1,2023-01-14,37127,3,2,2023-03-06,51,13,2023-03-19,1,0.0,1893477,111381,-1
1,2023-01-18,43140,1,0,2023-04-20,92,10,2023-04-30,1,13.0,3968880,43140,1
1,2023-01-22,3380,3,1,2023-05-19,117,5,2023-05-24,1,11.5,395460,10140,-1
1,2023-02-03,64496,1,1,2023-02-22,19,14,2023-03-08,1,9.333333333333334,1225424,64496,-1
1,2023-02-08,11968,0,2,2023-04-11,62,13,2023-04-24,1,10.5,742016,0,1
1,2023-02-17,49475,3,1,2023-02-28,11,16,2023-03-16,1,11.0,544225,148425,-1
1,2023-03-02,64545,2,3,2023-04-10,39,14,2023-04-24,1,11.833333333333334,2517255,129090,1
1,2023-03-12,16573,0,3,2023-04-10,29,14,2023-04-24,1,12.142857142857142,480617,0,1
1,2023-03-17,35298,3,3,2023-05-30,74,10,2023-06-09,1,12.375,2612052,105894,1
1,2023-03-19,42670,2,2,2023-03-27,8,13,2023-04-09,1,12.11111111111111,341360,85340,1
1,2023-03-19,4351,3,1,2023-07-01,104,8,2023-07-09,1,12.2,452504,13053,1
1,2023-04-03,52483,2,3,2023-06-04,62,12,2023-06-16,1,11.818181818181818,3253946,104966,1
1,2023-04-09,32972,0,3,2023-07-31,113,8,2023-08-08,1,11.833333333333334,3725836,0,1
1,2023-04-11,5973,0,2,2023-04-22,11,14,2023-05-06,1,11.538461538461538,65703,0,1
1,2023-04-16,33494,2,3,2023-07-20,95,8,2023-07-28,1,11.714285714285714,3181930,66988,1
1,2023-05-04,46318,2,3,2023-06-30,57,12,2023-07-12,1,11.466666666666669,2640126,92636,1
1,2023-05-12,6028,3,3,2023-07-26,75,8,2023-08-03,1,11.5,452100,18084,1
1,2023-06-07,27663,0,1,2023-08-25,79,11,2023-09-05,1,11.294117647058824,2185377,0,1
1,2023-06-25,38461,2,2,2023-10-04,101,6,2023-10-10,1,11.27777777777778,3884561,76922,1
1,2023-06-29,16160,1,3,2023-10-26,119,6,2023-11-01,1,11.0,1923040,16160,1
